1023;38;38;38;38;38
1023;39;38;38;38;38
1074;40;38;38;38;38
1125;41;38;38;38;38
1176;43;38;38;38;38
1227;45;38;38;38;38
1278;48;38;38;38;38
1329;50;39;38;38;38
1380;54;42;38;38;38
1432;59;48;38;38;38
1483;64;53;38;38;38
1534;70;58;38;38;38
1585;75;64;38;38;38
1636;81;69;38;38;38
1687;87;76;46;38;38
1738;95;84;53;38;38
1790;103;92;61;38;38
1841;110;99;69;38;38
1892;119;107;77;38;38
1943;128;117;86;48;38
1994;138;127;96;58;38
2045;149;138;107;69;38
2096;161;149;118;80;38
2147;172;161;130;92;46
2199;184;172;141;103;57
2250;195;184;153;115;69
2301;207;195;164;126;80
2352;218;207;176;138;92
2403;230;219;188;150;104
2454;243;231;200;162;116
2505;256;244;214;175;129
2556;269;258;227;189;143
2608;283;271;241;202;156
2659;297;286;255;217;171
2710;312;300;269;231;185
2761;327;315;285;246;200
2812;342;331;300;262;216
2863;358;346;315;277;231
2914;374;363;332;293;247
2965;383;378;348;309;263
3017;383;383;364;326;280
3068;383;383;380;342;296
3119;383;383;383;358;312
3170;383;383;383;374;328
3221;383;383;383;383;344
3272;383;383;383;383;360
3323;383;383;383;383;376
3375;383;383;383;383;383
